rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,50,80,81,0.16308677196502686,107.62947736822582,93.38311219858518,15.671349735404704,1.4249845657638502
2,80,111,142,63,0.1670512557029724,107.26425452001578,89.6147093918598,16.69183694976303,0.9577081783928065
3,142,173,203,62,0.17191529273986822,108.32616290968075,88.29069847765757,16.9609230221987,3.0745414098244908
4,203,234,267,65,0.17241245508193975,104.95191515508556,84.0017460789353,21.19959364888274,0.24942457273306218
5,267,300,332,66,0.15647336840629583,108.10833580051708,91.90488387993183,15.438229631704615,0.7652222888808637
6,332,365,398,67,0.1697310507297516,105.08941080584717,88.91740171417348,16.25711718185417,0.08510809018110876
7,398,431,462,65,0.17373242974281317,106.47537644696267,87.64442767864938,19.27755619900509,0.44660743069150044
8,462,494,524,63,0.16405892372131348,113.31029450679584,89.90550559314639,21.216850910413,2.1879380032363827
9,524,555,588,65,0.18098437786102295,103.84747184791347,88.63141115013941,15.912195476710593,0.6961347789365675
10,588,622,664,77,0.23835477232933044,106.18815461025024,87.51572760103195,20.167085770343334,1.4946587611250663
