rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,71,101,102,0.15591216087341309,110.34084436542518,105.39532259065999,3.784045160077227,1.1614766146875866
2,101,132,168,68,0.14851534366607666,112.9888709466655,112.37960775081449,0.8019026172437123,0.19263942139261303
3,168,205,235,68,0.16248208284378052,108.13093140818222,100.7255205056001,5.968033412526296,1.4373774900558942
4,235,266,301,67,0.15540677309036255,111.57677802079085,109.83085062006356,0.9593214424672567,0.7866059582600542
5,301,336,369,69,0.1690051555633545,106.37039972522993,98.99946323903887,7.24605514787973,0.12488133831152481
6,369,402,434,66,0.1618371605873108,106.66392330949805,100.63384119996564,6.613561637651628,0.5834795281189429
7,434,466,499,66,0.15793824195861816,107.3456663552019,101.81070796722888,6.377066289901904,0.8421079019286992
8,499,532,563,65,0.1682652235031128,103.35745603133432,100.23937946538598,5.2623695642575115,2.1442929983093393
9,563,594,627,65,0.15926343202590942,109.57231231733772,107.04937299419845,3.6209897777338256,1.09805045459467
10,627,660,707,81,0.32809469103813177,106.29393849187095,96.96674621245997,10.524474005188722,1.1972817257777137
