rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,35,56,57,0.11258146166801453,124.2504023039009,124.46918989080015,10.00635664561051,10.225144232509791
2,56,78,101,46,0.11480033397674555,123.34437580326045,108.52268326691461,19.12451799872298,4.302825462377115
3,101,125,147,47,0.0973922610282898,125.12874675054763,113.20373860364208,17.76083327397933,5.835825127073747
4,147,170,194,48,0.09360373020172119,130.33269452082058,112.61278794548303,19.866621755629666,2.1467151802920625
5,194,218,239,46,0.109470784664154,121.93921597471859,106.1887576133859,19.590109252368933,3.8396508910362286
6,239,261,284,46,0.0941119492053985,123.05051812020201,114.73485427216879,16.528131118013675,8.212467269980465
7,284,308,330,47,0.10542163252830511,119.97017792374974,109.32598101564894,18.045943361468204,7.401746453367338
8,330,353,376,47,0.10099691152572637,129.73480403179227,114.08766861675791,17.378706902386625,1.7315714873523405
9,376,399,423,48,0.10006371140480047,128.9823784980334,114.9071524465974,17.022731498978175,2.9475054475421416
10,423,448,469,47,0.09056729078292847,129.0861836260412,121.84363511350955,12.306774922145337,5.06422640961361
11,469,490,532,64,0.2774701565504074,125.74702653465538,113.62207331825454,16.505934573278978,4.380981356878095
