rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,51,85,86,0.16683116555213934,99.28078474228667,77.39979935932243,20.213778233449716,1.6672071495145815
2,85,119,154,70,0.16740182042121893,98.6557395732958,79.67582293408992,18.588624397172623,0.39129224203384183
3,154,189,224,71,0.16633787751197815,98.53841726135923,80.20393097458434,20.087557157794066,1.7530708710192755
4,224,260,292,69,0.16514340043067932,95.91777149294876,77.23035632238481,21.369072908099042,2.6816577375351756
5,292,324,359,68,0.16937905550003057,98.60224195458395,78.55434869337215,19.642520950816163,0.4053723103957054
6,359,395,426,68,0.16180923581123352,102.30097060016354,78.25123183911751,23.23133536344443,0.8184033976011449
7,426,458,486,61,0.1617265641689301,98.63820738639976,76.55060179869723,22.007794495016014,0.07981109269013587
8,486,514,543,58,0.15667882561683655,100.45118602435053,78.83638166901314,23.799978039414327,2.1851736840769433
9,543,573,604,62,0.16039186716079717,103.50656552641854,79.6950717064084,23.126516645914933,0.6849771740951667
10,604,635,689,86,0.3520926386117935,103.9230628880918,80.40941200660818,23.058277715625536,0.4553731658577931
