rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,69,96,97,0.15003931522369385,108.70954591469571,96.29519567615765,9.030594089035247,3.3837561495028297
2,96,124,155,60,0.1661926507949829,104.6123030796183,92.84390809830646,11.886009897119663,0.11761491580887196
3,155,187,216,62,0.15086054801940924,112.25506858853649,100.19803475141084,8.644658492952829,3.4123753441728013
4,216,246,276,61,0.14766407012939453,111.10868733502167,102.49900901930074,7.125602195644291,1.484076120076594
5,276,307,337,62,0.14970260858535767,114.55629178772081,108.10429232269802,3.8828965876862753,2.569102877336519
6,337,367,395,59,0.1636652946472168,109.7170551533089,101.75086581811517,6.976056284153572,0.9901330510400612
7,395,423,452,58,0.14929834008216863,115.4341749332589,106.89925540212447,4.77018776324482,3.7647317678895718
8,452,482,511,60,0.16047114133834844,116.41273507785839,109.31548481553524,2.8304077882006027,4.266842474122598
9,511,541,571,61,0.16485086083412176,114.18526983452769,101.1980042618892,8.356912281845979,4.630353290792527
10,571,602,646,76,0.5295045841485261,113.36452524057232,106.87382917408253,4.939780374479483,1.5509156920104488
