rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,71,99,100,0.13052451610565186,119.01378950981729,106.97965028921112,19.344519804949243,7.310380584343051
2,99,128,152,54,0.12742817401885986,119.1517952346119,111.05690246028773,17.38785790246007,9.292965128135904
3,152,176,200,49,0.1072881817817688,122.62571614516949,118.06608597475255,14.75282739411287,10.193197223695904
4,200,224,248,49,0.11002027988433838,120.05721265590442,114.5782374798557,14.913308581999729,9.434333405951008
5,248,273,297,50,0.1183289885520935,115.90937114561449,110.98309340547011,15.507508342659605,10.581230602515234
6,297,321,343,47,0.10070371627807617,125.10640034729448,121.83377920865159,14.714214848623982,11.441593709981106
7,343,366,388,46,0.1067456603050232,121.63874551062766,117.76638575220053,15.66600228429914,11.793642525871974
8,388,410,438,51,0.10137885808944702,127.25896486493421,121.80693559494443,14.69156700747476,9.239537737484937
9,438,467,497,60,0.10566854476928711,123.64891557681797,116.00224777456246,16.89864604278995,9.251978240534442
10,497,527,580,84,0.2532488107681275,130.25366576210965,127.85707242232684,14.463585652861155,12.066992313078373
