rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle,label
1,0,42,74,75,0.1546359658241272,107.49620909142062,84.72464505430725,26.19024558371973,3.418681546606308,good
2,74,107,141,68,0.1576383411884308,114.99273589392048,84.70659627075125,28.57853320482903,1.7076064183399635,good
3,141,175,208,68,0.1667095720767974,106.9154620597043,78.09327786076325,28.287917938531734,0.5342662604098791,good
4,208,241,274,67,0.1621157228946685,109.38276799725752,82.06631207539334,26.666398562310917,0.6500573595531023,good
5,274,308,340,67,0.1710091233253479,105.97524867075704,77.55966300459716,27.63309254570788,0.7824931204521306,good
6,340,373,405,66,0.1624529063701629,107.06853097801536,76.28322780267541,29.661770181480165,1.1235329938599818,good
7,405,437,470,66,0.1751110255718231,98.27011428260307,74.2186152639251,26.795877656760467,2.7443786380823667,good
8,470,503,535,66,0.1695522665977478,101.82521542127276,75.8618425573018,28.454490922156708,2.4911180581856343,good
9,535,567,598,64,0.1572464108467102,113.06791830697934,82.317440292265,29.088303273270725,1.6621747414436356,good
10,598,629,673,76,0.2876279354095459,100.62029513420076,77.9693576804904,24.048087188121144,1.3971497344109025,good
1,0,45,66,67,0.1036962866783142,132.81699895567166,110.78093945356925,22.5164314324488,0.480371930345882,shallow
2,66,88,109,44,0.1036670207977294,130.594836230168,111.23912375622687,22.931807738243236,3.576095264302097,shallow
3,109,131,172,64,0.1155817508697509,115.9751857097464,104.55182607849088,17.779311838100824,6.355952206845274,shallow
4,172,214,235,64,0.1212523579597473,121.21777813238882,100.8923822805776,22.782074573401616,2.456678721590407,shallow
5,235,257,278,44,0.1013917326927185,127.34661132102924,107.15054377141615,23.807483412175344,3.611415862562296,shallow
6,278,299,319,42,0.1095107197761535,127.67598026457968,104.96746016133416,24.242752945080383,1.5342328418346938,shallow
7,319,340,361,43,0.1061480045318603,125.2731459043924,109.74631665313936,20.87822801862896,5.351398767375969,shallow
8,361,383,403,43,0.1007202267646789,127.78374079322931,111.41546472193929,20.960179212596955,4.591903141306915,shallow
9,403,423,475,73,0.2323420047760009,134.23890407626914,113.45916544517878,23.880138084828133,3.100399453737822,shallow
1,0,50,74,75,0.1401016116142273,113.2748926413616,99.20030624182232,12.41587111768473,1.6587152818544837,upright
2,74,99,127,54,0.1294264197349548,122.78107719479168,108.69195245930858,11.829463471430358,2.2596612640526814,upright
3,127,155,182,56,0.1398217678070068,115.26821951297606,100.3208634346568,13.892873899789237,1.0544821785300087,upright
4,182,210,239,58,0.1585350036621093,108.10210058115015,93.44875706876212,13.778311449769577,0.875032062618402,upright
5,239,268,298,60,0.1476373076438903,109.71724195027916,98.1163921961575,10.153988435248436,1.4468613188733173,upright
6,298,329,357,60,0.1254905462265014,115.87484529981904,104.65022406956837,10.18854563548669,1.0360755947637017,upright
7,357,385,412,56,0.1324242353439331,111.82802889903664,99.58329674389604,12.470926347660992,0.2261941925193582,upright
8,412,440,465,54,0.1276033520698547,117.1680975019502,108.86372981750738,6.893839861420901,1.410527823021937,upright
9,465,491,532,68,0.225693941116333,122.83016948388872,109.9726597128452,11.204136100293963,1.6533736707494882,upright
1,0,45,73,74,0.1594708561897277,113.78566395409436,89.74753027916806,20.678136339314705,3.359997335611496,good
2,73,102,133,61,0.143919825553894,113.68006717086,86.35056760000232,23.739883335083505,3.5896162357740877,good
3,133,165,197,65,0.1639813184738159,107.20395562467203,80.94045479922244,22.41629893124764,3.847201894201959,good
4,197,229,260,64,0.1563873291015625,111.31265352583227,83.76518655015799,23.913975961974245,3.633491013700052,good
5,260,291,323,64,0.16453218460083,107.08093306358872,80.02325590148628,24.7094523485122,2.348224813590207,good
6,323,356,388,66,0.1596052646636963,113.50931500182485,84.33631014278272,24.257491516727953,4.915513342314142,good
7,388,420,449,62,0.156776487827301,111.589648787178,82.32059850191987,25.977049020201292,3.2920012650567685,good
8,449,479,509,61,0.1621359586715698,111.91813015463995,84.16920654009964,23.90439464366426,3.8445289708760417,good
9,509,539,571,63,0.1616716980934143,110.32550701093028,83.4778977578686,23.505872116672435,3.341737136389185,good
